"_time","checkout_completion",collections,default,elasticsearch,lhm,low,maintenance,payment,realtime,webhook,OTHER,NULL
"2019-08-14T08:30:00.000+0000",13,70,768,0,1,159,2,41,24,7081,2,231
"2019-08-14T08:31:00.000+0000",11,98,876,1,1,151,1,49,49,7760,0,217
"2019-08-14T08:32:00.000+0000",6,148,883,0,1,91,1,35,35,9444,0,164
"2019-08-14T08:33:00.000+0000",9,120,731,1,1,124,1,40,28,7535,1,213
"2019-08-14T08:34:00.000+0000",10,84,797,0,1,134,1,62,36,7432,0,201
"2019-08-14T08:35:00.000+0000",6,41,699,1,1,130,2,36,47,5810,2,186
"2019-08-14T08:36:00.000+0000",9,120,839,0,1,110,1,46,111,7633,0,199
"2019-08-14T08:37:00.000+0000",12,338,936,0,1,239,1,65,44,13024,0,198
"2019-08-14T08:38:00.000+0000",9,218,846,1,1,423,1,28,37,9739,0,185
"2019-08-14T08:39:00.000+0000",12,170,756,0,1,180,1,43,37,9038,1,236
"2019-08-14T08:40:00.000+0000",10,81,763,1,1,169,2,46,29,7118,2,204
"2019-08-14T08:41:00.000+0000",12,194,861,0,1,164,1,52,49,9040,0,211
"2019-08-14T08:42:00.000+0000",10,280,812,1,0,329,1,41,37,11922,0,192
"2019-08-14T08:43:00.000+0000",13,502,799,0,1,224,1,54,31,15507,0,182
"2019-08-14T08:44:00.000+0000",14,203,738,1,1,77,1,49,33,9849,1,158
"2019-08-14T08:45:00.000+0000",6,84,659,0,1,104,2,27,32,7137,2,181
"2019-08-14T08:46:00.000+0000",13,197,803,1,1,155,1,62,34,9125,0,204
"2019-08-14T08:47:00.000+0000",7,353,846,0,1,278,1,43,53,13017,0,207
"2019-08-14T08:48:00.000+0000",9,150,777,1,1,194,1,32,55,8436,0,206
"2019-08-14T08:49:00.000+0000",2,14,661,0,1,119,1,29,55,5367,0,222
"2019-08-14T08:50:00.000+0000",9,135,798,1,1,159,2,59,52,8914,2,247
"2019-08-14T08:51:00.000+0000",14,102,861,0,1,120,1,52,222,7874,0,221
